session,id,E,A,C,N,O
S01_kinect_1,U001,0.0,1.0,0.0,1.0,0.0
S01_kinect_2,U003,0.0,0.0,1.0,0.0,1.0
S02_kinect_1,U002,1.0,1.0,1.0,1.0,0.0
S02_kinect_2,U001,0.0,1.0,0.0,1.0,0.0
S03_kinect_1,U005,0.0,0.0,0.0,1.0,0.0
S03_kinect_2,U004,0.0,0.0,0.0,0.0,0.0
S04_kinect_1,U007,1.0,0.0,0.0,0.0,1.0
S04_kinect_2,U006,1.0,1.0,0.0,0.0,1.0
S05_kinect_1,U009,1.0,1.0,0.0,0.0,1.0
S05_kinect_2,U008,1.0,1.0,0.0,1.0,1.0
S06_kinect_1,U011,1.0,1.0,1.0,0.0,1.0
S06_kinect_2,U010,1.0,0.0,0.0,1.0,1.0
S07_kinect_1,U013,0.0,1.0,1.0,0.0,1.0
S07_kinect_2,U012,0.0,0.0,0.0,1.0,0.0
S08_kinect_1,U016,0.0,0.0,1.0,0.0,0.0
S08_kinect_2,U017,0.0,1.0,1.0,0.0,0.0
S09_kinect_1,U011,1.0,1.0,1.0,0.0,1.0
S09_kinect_2,U014,0.0,0.0,0.0,1.0,0.0
S10_kinect_1,U015,1.0,1.0,1.0,0.0,0.0
S10_kinect_2,U007,1.0,0.0,0.0,0.0,1.0
S11_kinect_1,U004,0.0,0.0,0.0,0.0,0.0
S11_kinect_2,U001,0.0,1.0,0.0,1.0,0.0
S12_kinect_1,U001,0.0,1.0,0.0,1.0,0.0
S12_kinect_2,U018,0.0,0.0,0.0,1.0,1.0
