session,id,E,A,C,N,O
S01_kinect_1,U001,0.651515,0.787879,0.717172,0.449495,0.479798
S01_kinect_2,U003,0.578704,0.611111,0.861111,0.347222,0.615741
S02_kinect_1,U002,0.796296,0.75,0.791667,0.449074,0.574074
S02_kinect_2,U001,0.651515,0.787879,0.717172,0.449495,0.479798
S03_kinect_1,U005,0.565657,0.651515,0.722222,0.388889,0.525253
S03_kinect_2,U004,0.486111,0.648148,0.726852,0.287037,0.476852
S04_kinect_1,U007,0.833333,0.661111,0.716667,0.35,0.666667
S04_kinect_2,U006,0.922222,0.872222,0.672222,0.233333,0.655556
S05_kinect_1,U009,0.823232,0.732323,0.641414,0.232323,0.585859
S05_kinect_2,U008,0.767677,0.762626,0.712121,0.464646,0.616162
S06_kinect_1,U011,0.811111,0.772222,0.788889,0.311111,0.616667
S06_kinect_2,U010,0.717172,0.651515,0.69697,0.550505,0.621212
S07_kinect_1,U013,0.594444,0.722222,0.805556,0.261111,0.594444
S07_kinect_2,U012,0.368687,0.323232,0.611111,0.444444,0.505051
S08_kinect_1,U016,0.661111,0.638889,0.733333,0.305556,0.55
S08_kinect_2,U017,0.616667,0.777778,0.777778,0.222222,0.572222
S09_kinect_1,U011,0.811111,0.772222,0.788889,0.311111,0.616667
S09_kinect_2,U014,0.550505,0.671717,0.717172,0.419192,0.520202
S10_kinect_1,U015,0.767677,0.691919,0.909091,0.227273,0.560606
S10_kinect_2,U007,0.833333,0.661111,0.716667,0.35,0.666667
S11_kinect_1,U004,0.486111,0.648148,0.726852,0.287037,0.476852
S11_kinect_2,U001,0.651515,0.787879,0.717172,0.449495,0.479798
S12_kinect_1,U001,0.651515,0.787879,0.717172,0.449495,0.479798
S12_kinect_2,U018,0.555556,0.648148,0.524691,0.382716,0.62963
