session,id,E,A,C,N,O
S01_kinect_1,U001,7.0,7.0,6.5,4.5,5.5
S01_kinect_2,U003,9.0,5.5,10.0,2.0,6.0
S02_kinect_1,U002,7.0,9.0,8.5,4.0,5.5
S02_kinect_2,U001,7.0,7.0,6.5,4.5,5.5
S03_kinect_1,U005,2.5,3.5,6.5,8.0,5.0
S03_kinect_2,U004,8.5,9.0,7.5,3.5,7.0
S04_kinect_1,U007,7.5,6.0,5.0,4.5,4.5
S04_kinect_2,U006,7.5,7.5,5.5,3.0,6.0
S05_kinect_1,U009,6.5,6.0,5.0,4.5,5.0
S05_kinect_2,U008,6.5,8.0,6.0,4.0,7.0
S06_kinect_1,U011,5.0,6.5,7.5,8.5,5.5
S06_kinect_2,U010,8.0,8.5,8.5,5.5,5.5
S07_kinect_1,U013,4.5,6.0,5.0,5.0,5.0
S07_kinect_2,U012,2.0,6.5,5.5,3.0,6.0
S08_kinect_1,U016,5.5,6.0,6.5,4.0,7.0
S08_kinect_2,U017,7.0,6.5,8.0,6.0,8.0
S09_kinect_1,U011,5.0,6.5,7.5,8.5,5.5
S09_kinect_2,U014,5.5,8.5,6.5,7.5,3.5
S10_kinect_1,U015,7.5,8.5,8.5,4.0,6.5
S10_kinect_2,U007,7.5,6.0,5.0,4.5,4.5
S11_kinect_1,U004,8.5,9.0,7.5,3.5,7.0
S11_kinect_2,U001,7.0,7.0,6.5,4.5,5.5
S12_kinect_1,U001,7.0,7.0,6.5,4.5,5.5
S12_kinect_2,U018,10.0,7.0,6.5,1.5,5.0
