fold    session       user  E  A  C  N  O
fold_1  S01_kinect_1  U001  0  1  0  1  0
fold_1  S02_kinect_2  U001  0  1  0  1  0
fold_1  S03_kinect_1  U005  0  0  0  1  0
fold_1  S06_kinect_1  U011  1  1  1  0  1
fold_2  S01_kinect_2  U003  0  0  1  0  1
fold_2  S02_kinect_1  U002  1  1  1  1  0
fold_2  S11_kinect_2  U001  0  1  0  1  0
fold_2  S12_kinect_1  U001  0  1  0  1  0
fold_3  S03_kinect_2  U004  0  0  0  0  0
fold_3  S05_kinect_1  U009  1  1  0  0  1
fold_3  S07_kinect_1  U013  0  1  1  0  1
fold_3  S12_kinect_2  U018  0  0  0  1  1
fold_4  S04_kinect_1  U007  1  0  0  0  1
fold_4  S07_kinect_2  U012  0  0  0  1  0
fold_4  S09_kinect_1  U011  1  1  1  0  1
fold_4  S10_kinect_1  U015  1  1  1  0  0
fold_5  S04_kinect_2  U006  1  1  0  0  1
fold_5  S05_kinect_2  U008  1  1  0  1  1
fold_5  S08_kinect_1  U016  0  0  1  0  0
fold_5  S10_kinect_2  U007  1  0  0  0  1
fold_6  S06_kinect_2  U010  1  0  0  1  1
fold_6  S08_kinect_2  U017  0  1  1  0  0
fold_6  S09_kinect_2  U014  0  0  0  1  0
fold_6  S11_kinect_1  U004  0  0  0  0  0
