S01_kinect_1, 19487 frames, 608 clips
S01_kinect_2, 19487 frames, 608 clips
S02_kinect_1, 19384 frames, 605 clips
S02_kinect_2, 19384 frames, 605 clips
S03_kinect_1, 25044 frames, 782 clips
S03_kinect_2, 25044 frames, 782 clips
S04_kinect_1, 5797 frames, 181 clips
S04_kinect_2, 5797 frames, 181 clips
S05_kinect_1, 4017 frames, 125 clips
S05_kinect_2, 4017 frames, 125 clips
S06_kinect_1, 3195 frames, 99 clips
S06_kinect_2, 3195 frames, 99 clips
S07_kinect_1, 9860 frames, 308 clips
S07_kinect_2, 9860 frames, 308 clips
S08_kinect_1, 4790 frames, 149 clips
S08_kinect_2, 4790 frames, 149 clips
S09_kinect_1, 14303 frames, 446 clips
S09_kinect_2, 14303 frames, 446 clips
S10_kinect_1, 14830 frames, 463 clips
S10_kinect_2, 14830 frames, 463 clips
S11_kinect_1, 13846 frames, 432 clips
S11_kinect_2, 13846 frames, 432 clips
S12_kinect_1, 10746 frames, 335 clips
S12_kinect_2, 10746 frames, 335 clips
