clip,frame,length,fps
S01_FP_U001_SP_U003_clip01,1850,30.864155555555556,59.940081518510866
S01_FP_U001_SP_U003_clip02,1490,24.858155555555555,59.940086732098656
S01_FP_U001_SP_U003_clip03,2805,46.79674444444444,59.94006705594668
S01_FP_U001_SP_U003_clip04,2561,42.72601111111111,59.94006773391489
S01_FP_U001_SP_U003_clip05,5047,84.20077777777777,59.940063894896724
S01_FP_U001_SP_U003_clip06,3814,63.63022222222222,59.94007040679482
S01_FP_U001_SP_U003_clip07,6281,104.78801111111112,59.94006311790757
S01_FP_U001_SP_U003_clip08,3685,61.47807777777778,59.940065356630285
S01_FP_U001_SP_U003_clip09,4822,80.44702222222223,59.940068218808456
S01_FP_U001_SP_U003_clip10,2298,38.33828888888889,59.94007731174462
S01_FP_U001_SP_U003_clip11,4033,67.28387777777778,59.94006488924456
S01_FP_U001_SP_U003_clip12,2529,42.192144444444445,59.94006783253228
S01_FP_U003_SP_U001_clip01,1823,30.413711111111112,59.94007088908
S01_FP_U003_SP_U001_clip02,1463,24.40771111111111,59.94007358330291
S01_FP_U003_SP_U001_clip03,2779,46.36297777777778,59.94006712252209
S01_FP_U003_SP_U001_clip04,2535,42.29224444444444,59.94006781385187
S01_FP_U003_SP_U001_clip05,5021,83.76701111111112,59.94006391537586
S01_FP_U003_SP_U001_clip06,3847,64.18077777777778,59.940065128534506
S01_FP_U003_SP_U001_clip07,6254,104.33755555555555,59.940066323194586
S01_FP_U003_SP_U001_clip08,3659,61.04431111111111,59.94006539511918
S01_FP_U003_SP_U001_clip09,4855,80.99757777777778,59.9400640512981
S01_FP_U003_SP_U001_clip10,2331,38.888844444444445,59.94006850293543
S01_FP_U003_SP_U001_clip11,4067,67.85111111111111,59.94006484786952
S01_FP_U003_SP_U001_clip12,2562,42.742688888888885,59.94007552168766
S02_FP_U001_SP_U002_clip01,1386,23.12308888888889,59.940088742469044
S02_FP_U001_SP_U002_clip02,1920,32.03198888888889,59.940080731796236
S02_FP_U001_SP_U002_clip03,3568,59.52612222222222,59.94007112843642
S02_FP_U001_SP_U002_clip04,3963,66.11604444444444,59.940064976663926
S02_FP_U001_SP_U002_clip05,5188,86.55312222222223,59.940067634764056
S02_FP_U001_SP_U002_clip06,2703,45.09504444444445,59.94006732447073
S02_FP_U001_SP_U002_clip07,2402,40.07335555555556,59.940076559598204
S02_FP_U001_SP_U002_clip08,4367,72.85611111111112,59.94006451071747
S02_FP_U001_SP_U002_clip09,5353,89.30587777777778,59.9400636688216
S02_FP_U001_SP_U002_clip10,3584,59.79305555555556,59.9400710784883
S02_FP_U001_SP_U002_clip11,3821,63.74701111111111,59.94006516383949
S02_FP_U001_SP_U002_clip12,2390,39.873155555555556,59.94007664304361
S02_FP_U002_SP_U001_clip01,1383,23.07304444444444,59.94007437250009
S02_FP_U002_SP_U001_clip02,1917,31.981944444444444,59.94007035219525
S02_FP_U002_SP_U001_clip03,3565,59.476077777777775,59.94006553895525
S02_FP_U002_SP_U001_clip04,3960,66.06598888888888,59.94007002089998
S02_FP_U002_SP_U001_clip05,5245,87.50407777777778,59.94006374560068
S02_FP_U002_SP_U001_clip06,2700,45.04498888888889,59.94007472529316
S02_FP_U002_SP_U001_clip07,2459,41.02431111111111,59.94006805720619
