clip_name,O,C,E,A,N
S03_kinect_2_clip2.npy,1.0,1.0,1.0,1.0,0.0
S03_kinect_2_clip3.npy,1.0,1.0,1.0,1.0,0.0
S03_kinect_2_clip4.npy,1.0,1.0,1.0,1.0,0.0
S03_kinect_2_clip5.npy,1.0,1.0,1.0,1.0,0.0
S03_kinect_2_clip6.npy,1.0,1.0,1.0,1.0,0.0
S03_kinect_2_clip7.npy,1.0,1.0,1.0,1.0,0.0
S03_kinect_2_clip8.npy,1.0,1.0,1.0,1.0,0.0
S03_kinect_2_clip9.npy,1.0,1.0,1.0,1.0,0.0
S03_kinect_2_clip10.npy,1.0,1.0,1.0,1.0,0.0
S03_kinect_2_clip11.npy,1.0,1.0,1.0,1.0,0.0
S03_kinect_2_clip12.npy,1.0,1.0,1.0,1.0,0.0
S03_kinect_2_clip13.npy,1.0,1.0,1.0,1.0,0.0
S03_kinect_2_clip14.npy,1.0,1.0,1.0,1.0,0.0
S03_kinect_2_clip15.npy,1.0,1.0,1.0,1.0,0.0
S03_kinect_2_clip16.npy,1.0,1.0,1.0,1.0,0.0
S03_kinect_2_clip17.npy,1.0,1.0,1.0,1.0,0.0
S03_kinect_2_clip18.npy,1.0,1.0,1.0,1.0,0.0
S03_kinect_2_clip19.npy,1.0,1.0,1.0,1.0,0.0
S03_kinect_2_clip20.npy,1.0,1.0,1.0,1.0,0.0
S03_kinect_2_clip21.npy,1.0,1.0,1.0,1.0,0.0
S03_kinect_2_clip22.npy,1.0,1.0,1.0,1.0,0.0
S03_kinect_2_clip23.npy,1.0,1.0,1.0,1.0,0.0
S03_kinect_2_clip24.npy,1.0,1.0,1.0,1.0,0.0
S03_kinect_2_clip25.npy,1.0,1.0,1.0,1.0,0.0
S03_kinect_2_clip26.npy,1.0,1.0,1.0,1.0,0.0
S03_kinect_2_clip27.npy,1.0,1.0,1.0,1.0,0.0
S03_kinect_2_clip28.npy,1.0,1.0,1.0,1.0,0.0
S03_kinect_2_clip29.npy,1.0,1.0,1.0,1.0,0.0
S03_kinect_2_clip30.npy,1.0,1.0,1.0,1.0,0.0
S03_kinect_2_clip31.npy,1.0,1.0,1.0,1.0,0.0
S03_kinect_2_clip32.npy,1.0,1.0,1.0,1.0,0.0
S03_kinect_2_clip33.npy,1.0,1.0,1.0,1.0,0.0
S03_kinect_2_clip34.npy,1.0,1.0,1.0,1.0,0.0
S03_kinect_2_clip35.npy,1.0,1.0,1.0,1.0,0.0
S03_kinect_2_clip36.npy,1.0,1.0,1.0,1.0,0.0
S03_kinect_2_clip37.npy,1.0,1.0,1.0,1.0,0.0
S03_kinect_2_clip38.npy,1.0,1.0,1.0,1.0,0.0
S03_kinect_2_clip39.npy,1.0,1.0,1.0,1.0,0.0
S03_kinect_2_clip40.npy,1.0,1.0,1.0,1.0,0.0
S03_kinect_2_clip41.npy,1.0,1.0,1.0,1.0,0.0
S03_kinect_2_clip42.npy,1.0,1.0,1.0,1.0,0.0
S03_kinect_2_clip43.npy,1.0,1.0,1.0,1.0,0.0
S03_kinect_2_clip44.npy,1.0,1.0,1.0,1.0,0.0
S03_kinect_2_clip45.npy,1.0,1.0,1.0,1.0,0.0
S03_kinect_2_clip46.npy,1.0,1.0,1.0,1.0,0.0
S03_kinect_2_clip47.npy,1.0,1.0,1.0,1.0,0.0
S03_kinect_2_clip48.npy,1.0,1.0,1.0,1.0,0.0
S03_kinect_2_clip49.npy,1.0,1.0,1.0,1.0,0.0
S03_kinect_2_clip50.npy,1.0,1.0,1.0,1.0,0.0
S03_kinect_2_clip51.npy,1.0,1.0,1.0,1.0,0.0
S03_kinect_2_clip52.npy,1.0,1.0,1.0,1.0,0.0
S03_kinect_2_clip53.npy,1.0,1.0,1.0,1.0,0.0
S03_kinect_2_clip54.npy,1.0,1.0,1.0,1.0,0.0
S03_kinect_2_clip55.npy,1.0,1.0,1.0,1.0,0.0
S03_kinect_2_clip56.npy,1.0,1.0,1.0,1.0,0.0
S03_kinect_2_clip57.npy,1.0,1.0,1.0,1.0,0.0
S03_kinect_2_clip58.npy,1.0,1.0,1.0,1.0,0.0
S03_kinect_2_clip59.npy,1.0,1.0,1.0,1.0,0.0
S03_kinect_2_clip60.npy,1.0,1.0,1.0,1.0,0.0
S03_kinect_2_clip61.npy,1.0,1.0,1.0,1.0,0.0
S03_kinect_2_clip62.npy,1.0,1.0,1.0,1.0,0.0
S03_kinect_2_clip63.npy,1.0,1.0,1.0,1.0,0.0
S03_kinect_2_clip64.npy,1.0,1.0,1.0,1.0,0.0
S03_kinect_2_clip65.npy,1.0,1.0,1.0,1.0,0.0
S03_kinect_2_clip66.npy,1.0,1.0,1.0,1.0,0.0
S03_kinect_2_clip67.npy,1.0,1.0,1.0,1.0,0.0
S03_kinect_2_clip68.npy,1.0,1.0,1.0,1.0,0.0
S03_kinect_2_clip69.npy,1.0,1.0,1.0,1.0,0.0
S03_kinect_2_clip70.npy,1.0,1.0,1.0,1.0,0.0
S03_kinect_2_clip71.npy,1.0,1.0,1.0,1.0,0.0
S03_kinect_2_clip72.npy,1.0,1.0,1.0,1.0,0.0
S03_kinect_2_clip73.npy,1.0,1.0,1.0,1.0,0.0
S03_kinect_2_clip74.npy,1.0,1.0,1.0,1.0,0.0
S03_kinect_2_clip75.npy,1.0,1.0,1.0,1.0,0.0
S03_kinect_2_clip76.npy,1.0,1.0,1.0,1.0,0.0
