| true | scratch   | both | body+face | reg | x
| true | scratch   | both | body+face | cla |
| true | scratch   | self | body+face | reg | x
| true | scratch   | self | body+face | cla |
| acq  | scratch   | both | body+face | reg | x
| acq  | scratch   | both | body+face | cla |
| acq  | scratch   | self | body+face | reg | x
| acq  | scratch   | self | body+face | cla |

| true | scratch   | self | body |
| true | scratch   | self | body w/o nonlocal |
| true | scratch   | self | face | x
| acq  | scratch   | self | body |
| acq  | scratch   | self | body w/o nonlocal |
| acq  | scratch   | self | face | x

| true | extracted | both | body+face |
| true | extracted | self | body+face |
| acq  | extracted | both | body+face |
| acq  | extracted | self | body+face |
