task,model,bs,ep,lr,metric,O,C,E,A,N,avg
220422-134852,BODY_NL_FACE_FC1,16,10,1e-4,Ac,0.3926,0.5437,0.4535,0.3206,0.7055,0.4832
220428-175115,BODY_NL_FACE_FC1,16,10,1e-4,Ac,0.3614,0.5288,0.5219,0.6165,0.5946,0.5246
220429-112652,BODY_NL_FACE_FC1,32,10,1e-4,Ac,0.4254,0.6235,0.5797,0.3714,0.6964,0.5393
220429-133259,BODY_NL_FACE_FC1,16,10,1e-3,Ac,0.5414,0.5980,0.4010,0.4483,0.6240,0.5225
220505-215605,BODY_NL_FACE_FC1,32,10,1e-4,Ac,0.3410,0.6055,0.5769,0.4883,0.6631,0.5350
220505-215605,BODY_NL_FACE_FC1,32,10,1e-4,BA,0.2916,0.4935,0.5078,0.5063,0.7228,0.5044
220422-134852,BODY_NL_FACE_FC1,16,10,1e-4,f1,0.2688,0.4125,0.3459,0.3020,0.4770,0.3612
220428-175115,BODY_NL_FACE_FC1,16,10,1e-4,f1,0.2565,0.3831,0.3285,0.5071,0.5411,0.4033
220429-112652,BODY_NL_FACE_FC1,32,10,1e-4,f1,0.2825,0.4463,0.4185,0.3234,0.6092,0.4160
220429-133259,BODY_NL_FACE_FC1,16,10,1e-3,f1,0.5131,0.4677,0.2809,0.3919,0.4867,0.4281
220505-215605,BODY_NL_FACE_FC1,32,10,1e-4,f1,0.2470,0.4378,0.4120,0.4373,0.6250,0.4318
220510-165009,BODY_NL_FACE_IBF_FC1,32,10,1e-4,Ac,0.2732,0.6360,0.4739,0.3611,0.6193,0.4727
220511-133716,BODY_NL_FACE_IBF_FC1,32,10,1e-4,Ac,0.3910,0.5588,0.3201,0.5462,0.6821,0.4996
220512-144010,BODY_NL_FACE_IBF_FC1,32,10,1e-4,Ac,0.2761,0.5878,0.4486,0.4734,0.6657,0.4903
220510-165009,BODY_NL_FACE_IBF_FC1,32,10,1e-4,BA,0.3986,0.6026,0.6128,0.3494,0.6259,0.5179
220511-133716,BODY_NL_FACE_IBF_FC1,32,10,1e-4,BA,0.3523,0.5112,0.4378,0.5613,0.6719,0.5069
220512-144010,BODY_NL_FACE_IBF_FC1,32,10,1e-4,BA,0.3318,0.5219,0.5815,0.5835,0.7265,0.5490
220510-165009,BODY_NL_FACE_IBF_FC1,32,10,1e-4,f1,0.2416,0.5538,0.4028,0.2972,0.5125,0.4016
220511-133716,BODY_NL_FACE_IBF_FC1,32,10,1e-4,f1,0.2938,0.4101,0.2534,0.5163,0.5893,0.4126
220512-144010,BODY_NL_FACE_IBF_FC1,32,10,1e-4,f1,0.2399,0.4349,0.3587,0.4375,0.6010,0.4144
220511-015005,BODY_NL_FACE_IBF_FC1_DROP,32,10,1e-4,Ac,0.3276,0.5774,0.3573,0.3521,0.7080,0.4645
220511-015005,BODY_NL_FACE_IBF_FC1_DROP,32,10,1e-4,BA,0.2920,0.6002,0.4656,0.3771,0.7208,0.4911
220511-015005,BODY_NL_FACE_IBF_FC1_DROP,32,10,1e-4,f1,0.2518,0.4924,0.3174,0.3364,0.6326,0.4061
