task,model,bs,ep,lr,metric,O,C,E,A,N,avg
220506-133429,BODY_NL_FACE_FC1,32,10,1e-4,Ac,0.4639,0.4320,0.6816,0.4366,0.6294,0.5287
220506-133429,BODY_NL_FACE_FC1,32,10,1e-4,BA,0.4855,0.4237,0.6110,0.4938,0.5763,0.5181
220506-133429,BODY_NL_FACE_FC1,32,10,1e-4,f1,0.4067,0.3208,0.4983,0.3921,0.4599,0.4156
220510-220020,BODY_NL_FACE_IBF_FC1,32,10,1e-4,Ac,0.5271,0.4653,0.6212,0.4560,0.5015,0.5142
220511-180027,BODY_NL_FACE_IBF_FC1,32,10,1e-4,Ac,0.4337,0.5479,0.6105,0.4159,0.5486,0.5113
220510-220020,BODY_NL_FACE_IBF_FC1,32,10,1e-4,BA,0.5032,0.5579,0.6309,0.5188,0.4303,0.5282
220511-180027,BODY_NL_FACE_IBF_FC1,32,10,1e-4,BA,0.4349,0.6103,0.5662,0.4908,0.4732,0.5151
220510-220020,BODY_NL_FACE_IBF_FC1,32,10,1e-4,f1,0.4213,0.3676,0.5042,0.4407,0.3099,0.4087
220511-180027,BODY_NL_FACE_IBF_FC1,32,10,1e-4,f1,0.3721,0.4079,0.4903,0.3991,0.3273,0.3993
220511-055505,BODY_NL_FACE_IBF_FC1_DROP,32,10,1e-4,Ac,0.4843,0.5498,0.7040,0.4985,0.6386,0.5750
220511-055505,BODY_NL_FACE_IBF_FC1_DROP,32,10,1e-4,BA,0.4900,0.5457,0.6978,0.5592,0.5688,0.5723
220511-055505,BODY_NL_FACE_IBF_FC1_DROP,32,10,1e-4,f1,0.3703,0.3954,0.5884,0.5592,0.3774,0.4581
